Detected,Detected2,Detected3,Detected4,Detected5,Reality,Was Covert,Frameno,Diff,Diff2,Diff3,Diff4,Diff5
5,5,5,5,5,5,False,288,True,True,True,True,True
0,0,0,0,0,12,True,288,False,False,False,False,False
4,4,4,4,4,4,False,287,True,True,True,True,True
13,13,13,13,13,13,False,287,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
8,8,8,8,8,8,False,287,True,True,True,True,True
T8,T8,T8,T8,T8,T8,False,286,True,True,True,True,True
T9,T9,T9,9,T9,T9,False,286,True,True,True,False,True
14,11,11,11,11,11,False,287,False,True,True,True,True
25,25,25,25,25,25,False,287,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
16,16,16,16,16,16,False,287,True,True,True,True,True
14,14,14,14,14,14,False,287,True,True,True,True,True
T13,T13,T13,T13,T13,T13,False,286,True,True,True,True,True
15,15,15,15,15,15,False,286,True,True,True,True,True
19,3,3,3,3,3,False,286,False,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
8,8,8,8,8,8,False,288,True,True,True,True,True
T19,T19,T19,T19,T19,T19,False,286,True,True,True,True,True
0,0,0,0,0,0,False,290,True,True,True,True,True
16,16,16,16,16,16,False,288,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
2,2,2,2,2,2,False,286,True,True,True,True,True
0,0,D19,0,0,0,False,287,True,True,False,True,True
3,3,3,3,3,3,False,286,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
17,17,17,17,17,17,True,287,True,True,True,True,True
13,13,13,13,13,13,False,286,True,True,True,True,True
1,1,1,1,1,18,True,287,False,False,False,False,False
5,5,5,5,5,5,False,287,True,True,True,True,True
T4,T4,T4,T4,T4,T4,False,286,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
13,13,13,13,13,13,False,286,True,True,True,True,True
6,6,6,6,6,6,False,288,True,True,True,True,True
18,18,18,18,18,18,False,286,True,True,True,True,True
3,3,3,3,3,3,False,286,True,True,True,True,True
3,3,3,3,3,3,False,286,True,True,True,True,True
19,19,19,19,19,19,False,287,True,True,True,True,True
9,14,14,14,14,14,False,287,False,True,True,True,True
5,5,5,5,5,5,False,287,True,True,True,True,True
3,3,3,3,3,3,False,288,True,True,True,True,True
1,1,1,1,1,1,False,287,True,True,True,True,True
1,1,1,1,1,1,False,287,True,True,True,True,True
5,T5,T20,T20,T5,5,False,287,True,False,False,False,False
0,0,0,0,0,0,False,288,True,True,True,True,True
18,18,18,18,18,18,False,287,True,True,True,True,True
12,12,12,12,12,12,False,287,True,True,True,True,True
1,1,1,1,1,1,False,287,True,True,True,True,True
20,20,20,20,20,20,False,286,True,True,True,True,True
6,6,6,6,6,6,False,286,True,True,True,True,True
20,20,20,20,20,20,False,286,True,True,True,True,True
20,20,20,20,20,20,True,286,True,True,True,True,True
0,0,0,0,0,0,False,288,True,True,True,True,True
17,17,17,17,17,17,True,286,True,True,True,True,True
17,17,17,17,17,17,True,286,True,True,True,True,True
2,2,2,2,2,2,False,286,True,True,True,True,True
3,3,3,3,3,3,False,286,True,True,True,True,True
